id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
beibi_bus0,0.0,296185646#0_0,12.1,0.0,0.0,64912.0,1172895350#7_0,654.29,1.16,64912.0,704923.0,613.0,35.0,511.0,13614.6,1.0,tripinfo_beibi_bus0 routing_beibi_bus0,bus,1.0,
beibi_bus1,6.0,296185646#0_0,12.1,0.0,6.0,65316.0,1172895350#7_0,654.29,0.63,65310.0,704922.49,768.0,40.0,599.0,13925.76,1.0,tripinfo_beibi_bus1 routing_beibi_bus1,bus,1.0,
beibi_bus2,12.0,296185646#0_0,12.1,0.0,12.0,65317.0,1172895350#7_0,654.29,0.8,65305.0,704921.51,881.0,38.0,734.0,13785.21,1.0,tripinfo_beibi_bus2 routing_beibi_bus2,bus,1.0,
beibi_bus3,18.0,296185646#0_0,12.1,0.0,18.0,65320.0,1172895350#7_0,654.29,0.99,65302.0,704921.46,915.0,36.0,757.0,13758.31,1.0,tripinfo_beibi_bus3 routing_beibi_bus3,bus,1.0,
beibi_bus4,24.0,296185646#0_0,12.1,0.0,24.0,65379.0,1172895350#7_0,654.29,0.85,65355.0,704921.35,930.0,38.0,755.0,13813.48,1.0,tripinfo_beibi_bus4 routing_beibi_bus4,bus,1.0,
beibi_bus5,30.0,296185646#0_0,12.1,0.0,30.0,65380.0,1172895350#7_0,654.29,0.64,65350.0,704922.21,1056.0,35.0,884.0,13680.05,1.0,tripinfo_beibi_bus5 routing_beibi_bus5,bus,1.0,
beibi_bus6,36.0,296185646#0_0,12.1,0.0,36.0,65402.0,1172895350#7_0,654.29,0.8,65366.0,704921.63,1187.0,35.0,1017.0,13564.75,1.0,tripinfo_beibi_bus6 routing_beibi_bus6,bus,1.0,
beibi_bus7,42.0,296185646#0_0,12.1,0.0,42.0,65403.0,1172895350#7_0,654.29,0.64,65361.0,704921.37,1196.0,35.0,1032.0,13540.6,1.0,tripinfo_beibi_bus7 routing_beibi_bus7,bus,1.0,
beibi_bus8,48.0,296185646#0_0,12.1,0.0,48.0,65404.0,1172895350#7_0,654.29,0.76,65356.0,704922.03,1146.0,42.0,927.0,13646.14,1.0,tripinfo_beibi_bus8 routing_beibi_bus8,bus,1.0,
beibi_bus9,54.0,296185646#0_0,12.1,0.0,54.0,65405.0,1172895350#7_0,654.29,0.69,65351.0,704921.44,1097.0,40.0,862.0,13704.43,1.0,tripinfo_beibi_bus9 routing_beibi_bus9,bus,1.0,
beibi_motorcycle0,57.0,296185646#0_0,2.3,0.0,57.0,62816.0,1172895350#7_0,654.29,5.76,62759.0,704932.08,163.0,31.0,122.0,16073.22,1.0,tripinfo_beibi_motorcycle0 routing_beibi_motorcycle0,motorcycle,1.09,
beibi_motorcycle1,60.0,296185646#0_0,2.3,0.0,60.0,62978.0,1172895350#7_0,654.29,4.4,62918.0,705344.27,234.0,37.0,117.0,13285.25,2.0,tripinfo_beibi_motorcycle1 routing_beibi_motorcycle1,motorcycle,1.03,
beibi_motorcycle2,62.0,296185646#0_0,2.3,0.0,62.0,62933.0,1172895350#7_0,654.29,3.94,62871.0,705342.2,281.0,38.0,143.0,14195.68,2.0,tripinfo_beibi_motorcycle2 routing_beibi_motorcycle2,motorcycle,1.05,
beibi_motorcycle3,64.0,296185646#0_0,2.3,0.0,64.0,62909.0,1172895350#7_0,654.29,3.98,62845.0,705343.02,317.0,35.0,138.0,17452.38,2.0,tripinfo_beibi_motorcycle3 routing_beibi_motorcycle3,motorcycle,1.12,
beibi_motorcycle4,67.0,296185646#0_0,2.3,0.0,67.0,64800.0,1172895350#7_0,654.29,4.0,64733.0,705344.17,280.0,33.0,120.0,13342.19,2.0,tripinfo_beibi_motorcycle4 routing_beibi_motorcycle4,motorcycle,0.99,
beibi_motorcycle5,68.0,296185646#0_0,2.3,0.0,68.0,65527.0,1172895350#7_0,654.29,5.45,65459.0,705343.44,202.0,35.0,139.0,10488.65,2.0,tripinfo_beibi_motorcycle5 routing_beibi_motorcycle5,motorcycle,0.93,
beibi_motorcycle6,70.0,296185646#0_0,2.3,0.0,70.0,67094.0,1172895350#7_0,654.29,5.24,67024.0,704932.76,152.0,25.0,134.0,9072.76,1.0,tripinfo_beibi_motorcycle6 routing_beibi_motorcycle6,motorcycle,0.88,
beibi_motorcycle7,72.0,296185646#0_0,2.3,0.0,72.0,65540.0,1172895350#7_0,654.29,4.09,65468.0,705342.81,544.0,45.0,115.0,11370.83,2.0,tripinfo_beibi_motorcycle7 routing_beibi_motorcycle7,motorcycle,0.94,
