stopinfo_ended;stopinfo_id;stopinfo_initialContainers;stopinfo_initialPersons;stopinfo_lane;stopinfo_loadedContainers;stopinfo_loadedPersons;stopinfo_parking;stopinfo_pos;stopinfo_started;stopinfo_type;stopinfo_unloadedContainers;stopinfo_unloadedPersons
3950.00;xiahu_taxi_0;0;0;1172895350#7_0;0;0;1;654.27;3940.00;taxi;0;0
3954.00;xiahu_motorcycle_0;0;0;1172895350#7_0;0;0;1;654.26;3944.00;motorcycle;0;0
3976.00;xiahu_private_0;0;0;1172895350#7_0;0;0;1;654.28;3966.00;private;0;0
4059.00;xiahu_tricycle_0;0;0;1172895350#7_0;0;0;1;654.25;4049.00;tricycle;0;0
4291.00;xiahu_private_4;0;0;1172895350#7_0;0;0;1;654.28;4276.00;private;0;0
4292.00;xiahu_taxi_1;0;0;1172895350#7_0;0;0;1;654.28;4280.00;taxi;0;0
4300.00;xiahu_motorcycle_4;0;0;1172895350#7_0;0;0;1;654.27;4290.00;motorcycle;0;0
4334.00;xiahu_private_2;0;0;1172895350#7_0;0;0;1;654.26;4324.00;private;0;0
4357.00;xiahu_private_3;0;0;1172895350#7_0;0;0;1;654.28;4344.00;private;0;0
4360.00;xiahu_motorcycle_3;0;0;1172895350#7_0;0;0;1;654.29;4350.00;motorcycle;0;0
4373.00;xiahu_taxi_2;0;0;1172895350#7_0;0;0;1;654.29;4356.00;taxi;0;0
4379.00;xiahu_private_5;0;0;1172895350#7_0;0;0;1;654.28;4369.00;private;0;0
4382.00;xiahu_taxi_5;0;0;1172895350#7_0;0;0;1;654.28;4372.00;taxi;0;0
4408.00;xiahu_taxi_3;0;0;1172895350#7_0;0;0;1;654.28;4398.00;taxi;0;0
4426.00;xiahu_motorcycle_2;0;0;1172895350#7_0;0;0;1;654.27;4416.00;motorcycle;0;0
4430.00;xiahu_motorcycle_1;0;0;1172895350#7_0;0;0;1;654.29;4420.00;motorcycle;0;0
4449.00;xiahu_private_1;0;0;1172895350#7_0;0;0;1;654.27;4439.00;private;0;0
4453.00;xiahu_taxi_4;0;0;1172895350#7_0;0;0;1;654.29;4443.00;taxi;0;0
4457.00;xiahu_tricycle_3;0;0;1172895350#7_0;0;0;1;654.29;4447.00;tricycle;0;0
4518.00;xiahu_tricycle_2;0;0;1172895350#7_0;0;0;1;654.29;4508.00;tricycle;0;0
4522.00;xiahu_tricycle_5;0;0;1172895350#7_0;0;0;1;654.28;4512.00;tricycle;0;0
4525.00;xiahu_private_6;0;0;1172895350#7_0;0;0;1;654.28;4515.00;private;0;0
4544.00;xiahu_tricycle_1;0;0;1172895350#7_0;0;0;1;654.27;4534.00;tricycle;0;0
4572.00;xiahu_tricycle_4;0;0;1172895350#7_0;0;0;1;654.29;4562.00;tricycle;0;0
4620.00;xiahu_private_10;0;0;1172895350#7_0;0;0;1;654.28;4608.00;private;0;0
4621.00;xiahu_motorcycle_5;0;0;1172895350#7_0;0;0;1;654.29;4605.00;motorcycle;0;0
4629.00;xiahu_private_9;0;0;1172895350#7_0;0;0;1;654.25;4619.00;private;0;0
4645.00;xiahu_taxi_7;0;0;1172895350#7_0;0;0;1;654.29;4635.00;taxi;0;0
4662.00;xiahu_tricycle_7;0;0;1172895350#7_0;0;0;1;654.28;4641.00;tricycle;0;0
4673.00;xiahu_taxi_10;0;0;1172895350#7_0;0;0;1;654.29;4655.00;taxi;0;0
4674.00;xiahu_motorcycle_6;0;0;1172895350#7_0;0;0;1;654.29;4661.00;motorcycle;0;0
4690.00;xiahu_private_8;0;0;1172895350#7_0;0;0;1;654.28;4672.00;private;0;0
4691.00;xiahu_private_11;0;0;1172895350#7_0;0;0;1;654.27;4666.00;private;0;0
4702.00;xiahu_taxi_8;0;0;1172895350#7_0;0;0;1;654.29;4685.00;taxi;0;0
4703.00;xiahu_taxi_9;0;0;1172895350#7_0;0;0;1;654.27;4679.00;taxi;0;0
4704.00;xiahu_motorcycle_10;0;0;1172895350#7_0;0;0;1;654.28;4689.00;motorcycle;0;0
4706.00;xiahu_tricycle_10;0;0;1172895350#7_0;0;0;1;654.27;4696.00;tricycle;0;0
4711.00;xiahu_taxi_13;0;0;1172895350#7_0;0;0;1;654.29;4701.00;taxi;0;0
4729.00;xiahu_taxi_6;0;0;1172895350#7_0;0;0;1;654.29;4719.00;taxi;0;0
4753.00;xiahu_private_15;0;0;1172895350#7_0;0;0;1;654.28;4742.00;private;0;0
4754.00;xiahu_tricycle_8;0;0;1172895350#7_0;0;0;1;654.28;4738.00;tricycle;0;0
4758.00;xiahu_motorcycle_12;0;0;1172895350#7_0;0;0;1;654.29;4748.00;motorcycle;0;0
4762.00;xiahu_motorcycle_13;0;0;1172895350#7_0;0;0;1;654.29;4752.00;motorcycle;0;0
4776.00;xiahu_tricycle_6;0;0;1172895350#7_0;0;0;1;654.28;4766.00;tricycle;0;0
4799.00;xiahu_motorcycle_8;0;0;1172895350#7_0;0;0;1;654.29;4781.00;motorcycle;0;0
4804.00;xiahu_motorcycle_9;0;0;1172895350#7_0;0;0;1;654.28;4789.00;motorcycle;0;0
4809.00;xiahu_tricycle_13;0;0;1172895350#7_0;0;0;1;654.29;4786.00;tricycle;0;0
4820.00;xiahu_tricycle_14;0;0;1172895350#7_0;0;0;1;654.29;4794.00;tricycle;0;0
4825.00;xiahu_motorcycle_11;0;0;1172895350#7_0;0;0;1;654.28;4814.00;motorcycle;0;0
4836.00;xiahu_taxi_14;0;0;1172895350#7_0;0;0;1;654.29;4808.00;taxi;0;0
4870.00;xiahu_motorcycle_17;0;0;1172895350#7_0;0;0;1;654.27;4859.00;motorcycle;0;0
4875.00;xiahu_tricycle_15;0;0;1172895350#7_0;0;0;1;654.29;4863.00;tricycle;0;0
4898.00;xiahu_motorcycle_16;0;0;1172895350#7_0;0;0;1;654.26;4884.00;motorcycle;0;0
4902.00;xiahu_private_13;0;0;1172895350#7_0;0;0;1;654.27;4798.00;private;0;0
4903.00;xiahu_private_14;0;0;1172895350#7_0;0;0;1;654.28;4824.00;private;0;0
4904.00;xiahu_private_16;0;0;1172895350#7_0;0;0;1;654.28;4880.00;private;0;0
4905.00;xiahu_private_17;0;0;1172895350#7_0;0;0;1;654.28;4844.00;private;0;0
4906.00;xiahu_private_18;0;0;1172895350#7_0;0;0;1;654.29;4849.00;private;0;0
4913.00;xiahu_tricycle_9;0;0;1172895350#7_0;0;0;1;654.27;4889.00;tricycle;0;0
4919.00;xiahu_tricycle_11;0;0;1172895350#7_0;0;0;1;654.29;4893.00;tricycle;0;0
4938.00;xiahu_motorcycle_7;0;0;1172895350#7_0;0;0;1;654.27;4928.00;motorcycle;0;0
4942.00;xiahu_motorcycle_15;0;0;1172895350#7_0;0;0;1;654.29;4918.00;motorcycle;0;0
4947.00;xiahu_tricycle_12;0;0;1172895350#7_0;0;0;1;654.28;4924.00;tricycle;0;0
4960.00;xiahu_tricycle_18;0;0;1172895350#7_0;0;0;1;654.29;4932.00;tricycle;0;0
4970.00;xiahu_motorcycle_14;0;0;1172895350#7_0;0;0;1;654.29;4950.00;motorcycle;0;0
4975.00;xiahu_motorcycle_18;0;0;1172895350#7_0;0;0;1;654.29;4959.00;motorcycle;0;0
4981.00;xiahu_tricycle_16;0;0;1172895350#7_0;0;0;1;654.28;4954.00;tricycle;0;0
4987.00;xiahu_tricycle_17;0;0;1172895350#7_0;0;0;1;654.29;4964.00;tricycle;0;0
4991.00;xiahu_tricycle_24;0;0;1172895350#7_0;0;0;1;654.27;4978.00;tricycle;0;0
5004.00;xiahu_motorcycle_21;0;0;1172895350#7_0;0;0;1;654.29;4994.00;motorcycle;0;0
5013.00;xiahu_tricycle_25;0;0;1172895350#7_0;0;0;1;654.28;4998.00;tricycle;0;0
5018.00;xiahu_tricycle_19;0;0;1172895350#7_0;0;0;1;654.28;5008.00;tricycle;0;0
5019.00;jinxie_private_0;0;0;977360507#0_0;0;0;1;1136.47;5009.00;private;0;0
5043.00;xiahu_private_7;0;0;1172895350#7_0;0;0;1;654.27;4912.00;private;0;0
5044.00;xiahu_private_12;0;0;1172895350#7_0;0;0;1;654.28;4901.00;private;0;0
5045.00;xiahu_private_19;0;0;1172895350#7_0;0;0;1;654.26;4941.00;private;0;0
5046.00;xiahu_private_20;0;0;1172895350#7_0;0;0;1;654.26;4835.00;private;0;0
5047.00;xiahu_private_21;0;0;1172895350#7_0;0;0;1;654.26;4969.00;private;0;0
5048.00;xiahu_private_22;0;0;1172895350#7_0;0;0;1;654.29;5012.00;private;0;0
5053.00;xiahu_private_23;0;0;1172895350#7_0;0;0;1;654.29;4946.00;private;0;0
5054.00;xiahu_private_24;0;0;1172895350#7_0;0;0;1;654.29;4937.00;private;0;0
5055.00;xiahu_private_26;0;0;1172895350#7_0;0;0;1;654.28;5017.00;private;0;0
5056.00;xiahu_private_27;0;0;1172895350#7_0;0;0;1;654.27;4980.00;private;0;0
5057.00;xiahu_taxi_11;0;0;1172895350#7_0;0;0;1;654.29;4829.00;taxi;0;0
5058.00;xiahu_taxi_12;0;0;1172895350#7_0;0;0;1;654.28;4803.00;taxi;0;0
5059.00;xiahu_taxi_15;0;0;1172895350#7_0;0;0;1;654.29;4819.00;taxi;0;0
5060.00;xiahu_taxi_16;0;0;1172895350#7_0;0;0;1;654.29;4897.00;taxi;0;0
5067.00;xiahu_taxi_17;0;0;1172895350#7_0;0;0;1;654.29;4874.00;taxi;0;0
5068.00;xiahu_taxi_18;0;0;1172895350#7_0;0;0;1;654.27;4840.00;taxi;0;0
5069.00;xiahu_taxi_19;0;0;1172895350#7_0;0;0;1;654.25;4854.00;taxi;0;0
5070.00;xiahu_taxi_20;0;0;1172895350#7_0;0;0;1;654.29;4869.00;taxi;0;0
5071.00;xiahu_taxi_21;0;0;1172895350#7_0;0;0;1;654.29;5003.00;taxi;0;0
5072.00;xiahu_taxi_22;0;0;1172895350#7_0;0;0;1;654.26;4986.00;taxi;0;0
5073.00;xiahu_taxi_23;0;0;1172895350#7_0;0;0;1;654.28;4974.00;taxi;0;0
5074.00;xiahu_taxi_24;0;0;1172895350#7_0;0;0;1;654.29;5042.00;taxi;0;0
5075.00;xiahu_taxi_25;0;0;1172895350#7_0;0;0;1;654.28;4990.00;taxi;0;0
5076.00;xiahu_motorcycle_23;0;0;1172895350#7_0;0;0;1;654.29;5066.00;motorcycle;0;0
5077.00;xiahu_motorcycle_24;0;0;1172895350#7_0;0;0;1;654.28;5032.00;motorcycle;0;0
5081.00;xiahu_motorcycle_25;0;0;1172895350#7_0;0;0;1;654.29;5052.00;motorcycle;0;0
5082.00;xiahu_tricycle_20;0;0;1172895350#7_0;0;0;1;654.25;5023.00;tricycle;0;0
5083.00;xiahu_tricycle_21;0;0;1172895350#7_0;0;0;1;654.26;5028.00;tricycle;0;0
5084.00;xiahu_tricycle_22;0;0;1172895350#7_0;0;0;1;654.29;5038.00;tricycle;0;0
5111.00;xiahu_motorcycle_19;0;0;1172895350#7_0;0;0;1;654.28;5092.00;motorcycle;0;0
5112.00;xiahu_private_25;0;0;1172895350#7_0;0;0;1;654.29;5102.00;private;0;0
5113.00;xiahu_motorcycle_20;0;0;1172895350#7_0;0;0;1;654.29;5080.00;motorcycle;0;0
5114.00;xiahu_tricycle_23;0;0;1172895350#7_0;0;0;1;654.29;5097.00;tricycle;0;0
5115.00;xiahu_motorcycle_22;0;0;1172895350#7_0;0;0;1;654.28;5105.00;motorcycle;0;0
5130.00;xiahu_taxi_27;0;0;1172895350#7_0;0;0;1;654.29;5110.00;taxi;0;0
5135.00;xiahu_private_29;0;0;1172895350#7_0;0;0;1;654.28;5125.00;private;0;0
5139.00;xiahu_motorcycle_28;0;0;1172895350#7_0;0;0;1;654.25;5129.00;motorcycle;0;0
5157.00;xiahu_tricycle_27;0;0;1172895350#7_0;0;0;1;654.26;5143.00;tricycle;0;0
5158.00;xiahu_motorcycle_26;0;0;1172895350#7_0;0;0;1;654.27;5148.00;motorcycle;0;0
5178.00;jinxie_tricycle_0;0;0;977360507#0_0;0;0;1;1136.46;5168.00;tricycle;0;0
5206.00;xiahu_private_31;0;0;1172895350#7_0;0;0;1;654.29;5194.00;private;0;0
5207.00;xiahu_private_32;0;0;1172895350#7_0;0;0;1;654.29;5156.00;private;0;0
5208.00;xiahu_taxi_26;0;0;1172895350#7_0;0;0;1;654.28;5174.00;taxi;0;0
5218.00;xiahu_taxi_28;0;0;1172895350#7_0;0;0;1;654.27;5169.00;taxi;0;0
5219.00;xiahu_taxi_29;0;0;1172895350#7_0;0;0;1;654.28;5181.00;taxi;0;0
5220.00;xiahu_taxi_30;0;0;1172895350#7_0;0;0;1;654.25;5190.00;taxi;0;0
