,Time,bus_count,car_count,taxi_count,motorcycle_count,tricycle_count
0,0.00,1,0,0,0,0
1,10.00,2,0,0,0,0
2,100.00,10,0,0,5,0
3,1000.00,0,1,0,0,0
4,10000.00,0,6,3,0,0
5,10005.00,0,6,3,0,0
6,10010.00,0,6,3,0,0
7,10015.00,0,6,3,0,0
8,10020.00,0,6,3,0,0
9,10025.00,0,6,3,0,0
10,10030.00,0,7,3,0,0
11,10035.00,0,7,3,0,0
12,10040.00,0,7,3,0,0
13,10045.00,0,7,3,0,0
14,1005.00,0,1,0,0,0
15,10050.00,0,7,3,0,0
16,10055.00,0,7,3,0,0
17,10060.00,0,7,3,0,0
18,10065.00,0,7,3,0,0
19,10070.00,0,8,4,0,0
20,10075.00,0,8,4,0,0
21,10080.00,0,8,4,0,0
22,10085.00,0,8,4,0,0
23,10090.00,0,8,4,0,0
24,10095.00,0,8,4,0,0
25,1010.00,0,1,0,0,0
26,10100.00,0,7,4,0,0
27,10105.00,0,7,4,0,0
28,10110.00,0,7,3,0,0
29,10115.00,0,7,3,0,0
30,10120.00,0,7,3,0,0
31,10125.00,0,7,3,0,0
32,10130.00,0,7,3,0,0
33,10135.00,0,7,3,0,0
34,10140.00,0,7,3,0,0
35,10145.00,0,7,3,0,0
36,1015.00,0,1,0,0,0
37,10150.00,0,7,3,0,0
38,10155.00,0,7,3,0,0
39,10160.00,0,7,3,0,0
40,10165.00,0,7,3,0,0
41,10170.00,0,7,3,0,0
42,10175.00,0,7,3,0,0
43,10180.00,0,7,3,0,0
44,10185.00,0,6,3,0,0
45,10190.00,0,6,3,0,0
46,10195.00,0,6,3,0,0
47,10200.00,0,6,3,0,0
48,10205.00,0,6,3,0,0
49,10210.00,0,6,3,0,0
50,10215.00,0,6,3,0,0
51,10220.00,0,6,3,0,0
52,10225.00,0,6,3,0,0
53,10230.00,0,6,3,0,0
54,10235.00,0,6,4,0,0
55,10240.00,0,5,4,0,0
56,10245.00,0,5,4,0,0
57,10250.00,0,5,4,0,0
58,10255.00,0,5,4,0,0
59,10260.00,0,5,4,0,0
60,10265.00,0,5,4,0,0
61,10270.00,0,5,4,0,0
62,10275.00,0,5,4,0,0
63,10280.00,0,5,4,0,0
64,10285.00,0,5,4,0,0
65,10290.00,0,5,4,0,0
66,10295.00,0,5,4,0,0
67,10300.00,0,5,4,0,0
68,10305.00,0,5,4,0,0
69,10310.00,0,5,4,0,0
70,10315.00,0,5,4,0,0
71,10320.00,0,5,4,0,0
72,10325.00,0,5,4,0,0
73,10330.00,0,5,4,0,0
74,10335.00,0,5,4,0,0
75,10340.00,0,4,4,0,0
76,10345.00,0,4,4,0,0
77,10350.00,0,4,4,0,0
78,10355.00,0,4,3,0,0
79,10360.00,0,4,2,0,0
80,10365.00,0,4,2,0,0
81,10370.00,0,4,2,0,0
82,10375.00,0,4,2,0,0
83,10380.00,0,3,2,0,0
84,10385.00,0,4,2,0,0
85,10390.00,0,4,2,0,0
86,10395.00,0,4,2,0,0
87,10400.00,0,4,2,0,0
88,10405.00,0,4,2,0,0
89,10410.00,0,4,2,0,0
90,10415.00,0,4,2,0,0
91,10420.00,0,4,2,0,0
92,10425.00,0,4,2,0,0
93,10430.00,0,3,2,0,0
94,10435.00,0,3,2,0,0
95,10440.00,0,3,2,0,0
96,10445.00,0,3,2,0,0
97,10450.00,0,3,2,0,0
98,10455.00,0,3,2,0,0
99,10460.00,0,1,2,0,0
100,10465.00,0,1,2,0,0
101,10470.00,0,1,2,0,0
102,10475.00,0,1,1,0,0
103,10480.00,0,1,2,0,0
104,10485.00,0,1,2,0,0
105,10490.00,0,1,2,0,0
106,10495.00,0,1,2,0,0
107,105.00,10,0,0,6,0
108,10500.00,0,1,1,0,0
109,10505.00,0,1,1,0,0
110,10510.00,0,1,1,0,0
